(338.40472,691.0177,0.0)
(387.7066,340.7084,0.0)
(-290.21735,310.42963,0.0)
(1323.0833,-152.5372,0.0)
(1689.7228,-242.49083,0.0)
(242.15962,1107.3533,0.0)

(733.15173,381.3825,0.0)
(714.79895,294.35974,0.0)
(1604.6942,1067.9446,0.0)
(328.036,-956.1206,0.0)
(-591.8418,1594.9995,0.0)
(726.1124,669.4664,0.0)
(2101.923,-939.8992,0.0)
(1407.4102,924.71924,0.0)

(479.18185,303.04376,0.0)
(100.75879,135.39636,0.0)
(232.63979,-197.5898,0.0)
(773.3421,-378.85086,0.0)
(565.6138,305.06653,0.0)
(202.59285,287.3513,0.0)
(336.09363,-461.7593,0.0)
(-246.35068,194.30066,0.0)

(805.68616,-229.82036,0.0)
(723.54767,971.37085,0.0)
(-968.34296,52.914566,0.0)
(-219.7974,-286.14313,0.0)

(-331.14355,275.96976,0.0)
(305.4464,867.3816,0.0)
(-564.4413,1897.0508,0.0)
(1209.3894,862.7125,0.0)
(354.50922,-606.1659,0.0)

(-198.05997,-885.8485,0.0)
(-513.0808,262.5191,0.0)
(-117.30429,195.8226,0.0)
(25.721191,512.5049,0.0)
(-292.73682,-234.93196,0.0)
(-1473.1118,278.52927,0.0)
(-95.6593,808.1769,0.0)
(1512.3242,689.02985,0.0)
(626.1498,-255.94427,0.0)

(-209.02124,1626.5261,0.0)
(-301.37198,1594.3108,0.0)
(2133.8955,211.62535,0.0)

(25.739075,938.7278,0.0)
(305.57892,615.2141,0.0)
(745.7949,629.4732,0.0)
(869.84875,-131.1051,0.0)

